radical,pinyin,vietnamese_meaning,sino_vietnamese,thai_meaning_pronunciation,burmese_meaning_pronunciation,french_meaning_pronunciation,english,examples
黑,hēi,Màu đen,Hắc,สีดำ (Sǐi-dam),အမည်းရောင် (A-mye-yaung),Noir (Nwar),Black,"默, 黛, 黠"
黹,zhǐ,May thêu,Chỉ,เย็บปัก (Yép-pàk),ပန်းထိုး (Pan-htoe),Broderie (Brodri),Embroidery,"黻, 黼, 黹"
黽,mǐn,Con ếch,Mẫn,กบ (Kòp),ဖား (Hpar),Grenouille (Grenuj),Frog/Toad,"黿, 鼉, 黽"
鼎,dǐng,Cái đỉnh,Đỉnh,กระถาง (Kra-thǎang),ကျောက်ပန်းกัน (Kyauk-pan-gan),Trépied (Trepjè),Tripod,"鼐, 鼒, 鼎"
鼓,gǔ,Cái trống,Cổ,กลอง (Klaawng),ဗုံ (Bone),Tambour (Tãbur),Drum,"鼙, 鼗, 鼓"
鼠,shǔ,Con chuột,Thử,หนู (Nǔu),ကြွက် (Kyet),Souris (Suri),Rat/Mouse,"鼬, 鼢, 鼷"
鼻,bí,Mũi,Tị,จมูก (Cha-mùuk),နှာခေါင်း (Hnar-gaung),Nez (Ne),Nose,"鼾, 齄, 齇"
齊,qí,Đều nhau,Tề,เท่ากัน (Thâo-kan),ညီတူညီမျှ (Nyee-tu-nyee-hmyar),Égal (Egal),Even/Uniform,"齋, 齏, 齊"
齒,chǐ,Răng,Sỉ,ฟัน (Fan),သွား (Thwar),Dent (Dã),Tooth,"齲, 齦, 齙"
龍,lóng,Con rồng,Long,มังกร (Mang-kaawn),နဂါး (Na-gar),Dragon (Dragõ),Dragon,"龔, 龕, 龘"
龜,guī,Con rùa,Quy,เต่า (Tào),လိပ် (Leik),Tortue (Torty),Turtle,"龝, 龞, 龜"
龠,yuè,Sáo ba lỗ,Yược,ขลุ่ย (Khlùy),ပုလွေ (Pa-lway),Flûte (Flyt),Flute,"龢, 龤, 龠"

