生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
對健康有影響,duì jiàn kāng yǒu yǐng xiǎng,có ảnh hưởng đến sức khỏe,มีผลต่อสุขภาพ,to affect health,老師說，長時間不睡覺對健康有影響，學生應該早一點休息。,"Giáo viên nói không ngủ trong thời gian dài sẽ ảnh hưởng đến sức khỏe, học sinh nên nghỉ ngơi sớm hơn.",ครูบอกว่าการไม่หลับไม่นอนเป็นเวลานานมีผลต่อสุขภาพ นักเรียนควรพักผ่อนให้เร็วขึ้น,"The teacher said that not sleeping for a long time affects health, so students should rest earlier."
不覺得,bù jué de,không cảm thấy / không nghĩ,ไม่คิดว่า / ไม่รู้สึกว่า,do not think / feel,小美不覺得十二點多睡覺很晚，因為她一直都是這個時間睡。,"Tiểu Mỹ không cảm thấy ngủ sau mười hai giờ là muộn, vì cô ấy一直 ngủ vào thời gian này.",เสี่ยวเหม่ยไม่รู้สึกว่านอนหลังเที่ยงคืนดึก เพราะเธอนอนเวลานี้มาตลอด,Xiaomei does not think sleeping after twelve is late because she has always slept at this time.
自己,zì jǐ,bản thân,ตัวเอง,oneself,小美說自己沒有生病，所以她不覺得晚睡有問題。,"Tiểu Mỹ nói bản thân không bị bệnh, nên cô ấy không thấy thức khuya có vấn đề.",เสี่ยวเหม่ยบอกว่าตัวเองไม่ได้ป่วย ดังนั้นเธอไม่รู้สึกว่าการนอนดึกมีปัญหา,"Xiaomei said that she herself was not sick, so she did not think sleeping late was a problem."
很晚才,hěn wǎn cái,rất muộn mới,ดึกมากถึงจะ,only very late,小華昨天準備報告到半夜，所以她很晚才睡覺。,"Hôm qua Tiểu Hoa chuẩn bị báo cáo đến nửa đêm, nên cô ấy ngủ rất muộn.",เมื่อวานเสี่ยวหัวเตรียมรายงานจนถึงเที่ยงคืน ดังนั้นเธอจึงนอนดึกมาก,"Xiaohua prepared her report until midnight yesterday, so she went to sleep very late."
夏天,xià tiān,mùa hè,ฤดูร้อน,summer,夏天到了，天氣越來越熱，很多學生想去海邊玩。,"Mùa hè đến rồi, thời tiết ngày càng nóng, nhiều học sinh muốn đi biển chơi.",ฤดูร้อนมาถึงแล้ว อากาศร้อนขึ้นเรื่อย ๆ นักเรียนหลายคนอยากไปเที่ยวทะเล,"Summer has arrived, the weather is getting hotter, and many students want to go to the beach."
海邊,hǎi biān,bờ biển,ริมทะเล,seaside / beach,明天放假，我們打算去海邊走走，順便在沙灘上打球。,"Ngày mai được nghỉ, chúng tôi dự định đi dạo ở bờ biển và tiện thể chơi bóng trên bãi cát.",พรุ่งนี้หยุด พวกเราวางแผนไปเดินเล่นที่ชายทะเล และเล่นบอลบนหาดทรายด้วย,"Tomorrow is a holiday, so we plan to go to the beach for a walk and play ball on the sand."
應該,yīng gāi,nên,ควร,should,去海邊打球的時候，你應該穿短褲，這樣比較方便。,"Khi đi biển chơi bóng, bạn nên mặc quần short, như vậy sẽ tiện hơn.",เวลาไปชายทะเลเล่นบอล คุณควรใส่กางเกงขาสั้น แบบนี้สะดวกกว่า,"When playing ball at the beach, you should wear shorts; that is more convenient."
穿,chuān,mặc,ใส่,to wear,因為明天要去海邊打球，小美決定穿短褲出門。,"Vì ngày mai phải đi biển chơi bóng, Tiểu Mỹ quyết định mặc quần short ra ngoài.",เพราะพรุ่งนี้จะไปชายทะเลเล่นบอล เสี่ยวเหม่ยจึงตัดสินใจใส่กางเกงขาสั้นออกจากบ้าน,"Because she will go to the beach to play ball tomorrow, Xiaomei decided to wear shorts."
短裙,duǎn qún,váy ngắn,กระโปรงสั้น,short skirt,小美本來想穿短裙去海邊，可是朋友說打球時不太方便。,"Ban đầu Tiểu Mỹ muốn mặc váy ngắn đi biển, nhưng bạn cô ấy nói khi chơi bóng thì không tiện lắm.",เดิมเสี่ยวเหม่ยอยากใส่กระโปรงสั้นไปทะเล แต่เพื่อนบอกว่าเวลาเล่นบอลไม่ค่อยสะดวก,"Xiaomei originally wanted to wear a short skirt to the beach, but her friend said it would not be convenient for playing ball."
短褲,duǎn kù,quần ngắn,กางเกงขาสั้น,shorts,朋友建議小美穿短褲去海邊，因為他們要在沙灘上打球。,"Bạn của Tiểu Mỹ đề nghị cô ấy mặc quần short đi biển, vì họ sẽ chơi bóng trên bãi cát.",เพื่อนแนะนำให้เสี่ยวเหม่ยใส่กางเกงขาสั้นไปทะเล เพราะพวกเขาจะเล่นบอลบนหาดทราย,Xiaomei’s friend suggested she wear shorts to the beach because they would play ball on the sand.
沙灘,shā tān,bãi cát / bãi biển,ชายหาด,beach / sandy beach,孩子們在沙灘上跑來跑去，玩得非常開心。,Bọn trẻ chạy qua chạy lại trên bãi cát và chơi rất vui.,เด็ก ๆ วิ่งไปวิ่งมาบนหาดทรายและเล่นกันอย่างสนุกมาก,The children ran around on the sand and had a great time.
打球,dǎ qiú,chơi bóng,เล่นบอล,to play ball,明天下午我們要在沙灘上打球，所以大家都要穿方便活動的衣服。,"Chiều mai chúng tôi sẽ chơi bóng trên bãi cát, nên mọi người đều phải mặc quần áo tiện vận động.",พรุ่งนี้ตอนบ่ายพวกเราจะเล่นบอลบนหาดทราย ดังนั้นทุกคนต้องใส่เสื้อผ้าที่เคลื่อนไหวสะดวก,"Tomorrow afternoon we will play ball on the sand, so everyone needs to wear clothes that are easy to move in."
先生,xiān sheng,ông / anh,คุณผู้ชาย,Mr. / gentleman,這位先生覺得去海邊打球時，穿短褲比穿短裙方便。,"Vị先生 này nghĩ rằng khi đi biển chơi bóng, mặc quần short tiện hơn mặc váy ngắn.",ผู้ชายคนนี้คิดว่าเวลาไปชายทะเลเล่นบอล ใส่กางเกงขาสั้นสะดวกกว่ากระโปรงสั้น,This gentleman thinks wearing shorts is more convenient than wearing a short skirt when playing ball at the beach.
蛋糕,dàn gāo,bánh kem,เค้ก,cake,小李想為朋友的生日準備一個蛋糕，讓她在舞會上很開心。,Tiểu Lý muốn chuẩn bị một chiếc bánh kem cho sinh nhật của bạn để cô ấy vui trong buổi khiêu vũ.,เสี่ยวหลี่อยากเตรียมเค้กหนึ่งก้อนสำหรับวันเกิดเพื่อน เพื่อให้เธอมีความสุขในงานเต้นรำ,Xiaoli wants to prepare a cake for his friend’s birthday so that she will be happy at the dance party.
準備,zhǔn bèi,chuẩn bị,เตรียม,to prepare,明天是小美的生日，她打算自己準備蛋糕和飲料。,"Ngày mai là sinh nhật Tiểu Mỹ, cô ấy dự định tự chuẩn bị bánh kem và đồ uống.",พรุ่งนี้เป็นวันเกิดของเสี่ยวเหม่ย เธอวางแผนเตรียมเค้กและเครื่องดื่มเอง,"Tomorrow is Xiaomei’s birthday, and she plans to prepare the cake and drinks herself."
舞會,wǔ huì,buổi khiêu vũ,งานเต้นรำ,dance party / ball,小美邀請朋友參加明天的生日舞會，大家都覺得很開心。,"Tiểu Mỹ mời bạn bè tham gia buổi khiêu vũ sinh nhật ngày mai, mọi người đều cảm thấy rất vui.",เสี่ยวเหม่ยเชิญเพื่อน ๆ เข้าร่วมงานเต้นรำวันเกิดพรุ่งนี้ ทุกคนรู้สึกดีใจมาก,"Xiaomei invited her friends to tomorrow’s birthday dance party, and everyone felt very happy."
更,gèng,hơn / càng,ยิ่งกว่า / มากขึ้น,more / even more,如果你不想吃蛋糕，我可以買一個你更喜歡的禮物。,"Nếu bạn không muốn ăn bánh kem, tôi có thể mua một món quà mà bạn thích hơn.",ถ้าคุณไม่อยากกินเค้ก ฉันสามารถซื้อของขวัญที่คุณชอบมากกว่าได้,"If you do not want cake, I can buy a gift that you like more."
想要,xiǎng yào,muốn,อยากได้ / ต้องการ,to want,朋友問小美除了蛋糕以外，還有沒有更想要的生日禮物。,"Bạn hỏi Tiểu Mỹ ngoài bánh kem ra, cô ấy còn có món quà sinh nhật nào muốn hơn không.",เพื่อนถามเสี่ยวเหม่ยว่านอกจากเค้กแล้ว เธอยังมีของขวัญวันเกิดที่อยากได้มากกว่านี้ไหม,"Her friend asked Xiaomei if, besides cake, there was any birthday gift she wanted more."
禮物,lǐ wù,quà,ของขวัญ,gift,小美覺得朋友能來參加生日舞會，比收到禮物更重要。,Tiểu Mỹ thấy bạn bè có thể đến dự buổi khiêu vũ sinh nhật quan trọng hơn việc nhận quà.,เสี่ยวเหม่ยรู้สึกว่าเพื่อนมาเข้าร่วมงานเต้นรำวันเกิดได้ สำคัญกว่าการได้รับของขวัญ,Xiaomei feels that having her friends come to her birthday dance party is more important than receiving gifts.
客氣,kè qì,khách sáo / lịch sự,เกรงใจ / สุภาพ,polite / too kind,小美笑著對朋友說：「你太客氣了，人來就好了，不用買禮物。」,"Tiểu Mỹ cười và nói với bạn: “Bạn khách sáo quá, người đến là được rồi, không cần mua quà.”",เสี่ยวเหม่ยยิ้มแล้วพูดกับเพื่อนว่า “คุณเกรงใจเกินไป แค่มาก็ดีแล้ว ไม่ต้องซื้อของขวัญ”,"Xiaomei smiled and told her friend, “You are too polite; just coming is enough, you do not need to buy a gift.”"
逛街,guàng jiē,đi dạo phố / đi mua sắm,เดินซื้อของ,to go shopping,週末的時候，小美想和朋友一起去逛街，但是她最近花了太多錢。,"Cuối tuần, Tiểu Mỹ muốn đi mua sắm với bạn, nhưng gần đây cô ấy đã tiêu quá nhiều tiền.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยอยากไปเดินซื้อของกับเพื่อน แต่ช่วงนี้เธอใช้เงินมากเกินไป,"On the weekend, Xiaomei wants to go shopping with her friend, but she has spent too much money recently."
逛,guàng,đi dạo / đi xem,เดินเล่น / เดินดู,to stroll / browse,今天下午我們要去逛百貨公司，看看有沒有便宜的商品。,Chiều nay chúng tôi sẽ đi dạo trung tâm thương mại xem có hàng hóa nào rẻ không.,บ่ายวันนี้พวกเราจะไปเดินห้างสรรพสินค้า ดูว่ามีสินค้าถูก ๆ หรือไม่,This afternoon we are going to browse the department store and see if there are any cheap products.
百貨公司,bǎi huò gōng sī,trung tâm bách hóa,ห้างสรรพสินค้า,department store,最近百貨公司有很多活動，所以商店裡有很多客人在買東西。,"Gần đây trung tâm thương mại có nhiều hoạt động khuyến mãi, nên trong cửa hàng có nhiều khách mua đồ.",ช่วงนี้ห้างสรรพสินค้ามีกิจกรรมหลายอย่าง ดังนั้นในร้านจึงมีลูกค้าซื้อของจำนวนมาก,"Recently the department store has many promotions, so there are many customers shopping in the stores."
最近,zuì jìn,gần đây,ช่วงนี้ / ล่าสุด,recently,小華最近花了太多錢，所以她本來不想去百貨公司。,"Gần đây Tiểu Hoa đã tiêu quá nhiều tiền, nên ban đầu cô ấy không muốn đi trung tâm thương mại.",ช่วงนี้เสี่ยวหัวใช้เงินมากเกินไป ดังนั้นตอนแรกเธอไม่อยากไปห้างสรรพสินค้า,"Xiaohua has spent too much money recently, so at first she did not want to go to the department store."
花錢,huā qián,tiêu tiền,ใช้เงิน,to spend money,如果只是去看商品不買東西，就不需要花錢。,"Nếu chỉ đi xem hàng hóa mà không mua gì, thì không cần tiêu tiền.",ถ้าแค่ไปดูสินค้าแต่ไม่ซื้อของ ก็ไม่จำเป็นต้องใช้เงิน,"If you only look at products and do not buy anything, you do not need to spend money."
花太多錢,huā tài duō qián,tiêu quá nhiều tiền,ใช้เงินมากเกินไป,to spend too much money,小美覺得自己最近花太多錢了，所以想先在家休息。,"Tiểu Mỹ thấy gần đây mình đã tiêu quá nhiều tiền, nên muốn ở nhà nghỉ ngơi trước.",เสี่ยวเหม่ยรู้สึกว่าช่วงนี้ตัวเองใช้เงินมากเกินไป จึงอยากพักที่บ้านก่อน,"Xiaomei feels that she has spent too much money recently, so she wants to stay home and rest first."
活動,huó dòng,hoạt động / khuyến mãi,กิจกรรม / โปรโมชั่น,event / promotion,百貨公司週末有活動，很多商品不但便宜，還會送試用品。,Cuối tuần trung tâm thương mại có hoạt động khuyến mãi; nhiều商品 không những rẻ mà còn tặng sản phẩm dùng thử.,สุดสัปดาห์ห้างสรรพสินค้ามีกิจกรรม สินค้าหลายอย่างไม่เพียงถูก แต่ยังแจกของทดลองใช้ด้วย,The department store has a promotion this weekend; many products are not only cheap but also come with samples.
商品,shāng pǐn,sản phẩm / hàng hóa,สินค้า,product / goods,這家店的商品很多，學生可以慢慢看，再決定要不要買。,"Cửa hàng này có nhiều hàng hóa, học sinh có thể xem từ từ rồi quyết định có mua hay không.",ร้านนี้มีสินค้าหลายอย่าง นักเรียนสามารถค่อย ๆ ดูแล้วค่อยตัดสินใจว่าจะซื้อไหม,"This store has many products, so students can look around slowly before deciding whether to buy."
使用的東西,shǐ yòng de dōng xi,đồ dùng để sử dụng,ของที่ใช้,things for use,活動當天，店員會送一些可以使用的東西給客人試試看。,"Vào ngày hoạt động, nhân viên cửa hàng sẽ tặng khách một số đồ có thể sử dụng để thử.",ในวันกิจกรรม พนักงานร้านจะแจกของที่สามารถใช้ได้ให้ลูกค้าลอง,"On the day of the promotion, the clerk will give customers some usable items to try."
試用品,shì yòng pǐn,hàng dùng thử,สินค้าทดลอง / ของทดลองใช้,sample / trial product,小華聽到有很多試用品可以拿，就決定跟朋友一起去百貨公司。,"Tiểu Hoa nghe nói có nhiều sản phẩm dùng thử có thể lấy, nên quyết định đi trung tâm thương mại với bạn.",เสี่ยวหัวได้ยินว่ามีของทดลองใช้ให้รับหลายอย่าง จึงตัดสินใจไปห้างสรรพสินค้ากับเพื่อน,"Xiaohua heard there were many samples to get, so she decided to go to the department store with her friend."
天氣,tiān qì,thời tiết,อากาศ,weather,今天天氣好熱，爸爸想待在家裡吹冷氣，不想出門買衣服。,"Hôm nay thời tiết rất nóng, bố muốn ở nhà bật máy lạnh và không muốn ra ngoài mua quần áo.",วันนี้อากาศร้อนมาก พ่ออยากอยู่บ้านเปิดแอร์ ไม่อยากออกไปซื้อเสื้อผ้า,"The weather is very hot today, so Dad wants to stay home with the air conditioner on and does not want to go out to buy clothes."
好熱,hǎo rè,rất nóng,ร้อนมาก,very hot,今天天氣好熱，走到公車站以前我就流了很多汗。,"Hôm nay trời nóng quá, trước khi đi đến trạm xe buýt tôi đã đổ rất nhiều mồ hôi.",วันนี้อากาศร้อนมาก ก่อนเดินถึงป้ายรถเมล์ฉันก็เหงื่อออกเยอะแล้ว,It is so hot today that I was already sweating a lot before I reached the bus stop.
吹冷氣,chuī lěng qì,bật / hưởng máy lạnh,เปิดแอร์ / ตากแอร์,to use air conditioning,夏天的下午很熱，我們在家吹冷氣、看電視，覺得很舒服。,"Buổi chiều mùa hè rất nóng; chúng tôi ở nhà bật máy lạnh, xem TV và cảm thấy rất thoải mái.",บ่ายฤดูร้อนร้อนมาก พวกเราอยู่บ้านเปิดแอร์ ดูทีวี และรู้สึกสบายมาก,"Summer afternoons are very hot, so we stay home with the air conditioner on, watch TV, and feel comfortable."
吹風機,chuī fēng jī,máy sấy tóc,ไดร์เป่าผม,hair dryer,妹妹洗完頭以後，用吹風機把頭髮吹乾，才出門上課。,"Sau khi gội đầu xong, em gái dùng máy sấy tóc sấy khô tóc rồi mới ra ngoài đi học.",หลังน้องสาวสระผมเสร็จ เธอใช้ไดร์เป่าผมเป่าผมให้แห้งแล้วค่อยออกไปเรียน,"After washing her hair, my younger sister dried it with a hair dryer before going out to class."
還是...了,hái shì...le,vẫn nên... thôi,...ดีกว่า,had better...,外面下大雨，媽媽說：「我們還是不要出門買衣服了。」,"Bên ngoài mưa rất to, mẹ nói: “Chúng ta vẫn nên đừng ra ngoài mua quần áo nữa.”",ข้างนอกฝนตกหนัก แม่พูดว่า “พวกเราอย่าออกไปซื้อเสื้อผ้าเลยดีกว่า”,"It was raining heavily outside, so Mom said, “We’d better not go out to buy clothes.”"
答應,dā yìng,đồng ý / hứa,รับปาก / สัญญา,to promise / agree,你昨天答應我今天要出門買衣服，所以不能一直坐在家裡看電視。,"Hôm qua bạn đã hứa với tôi hôm nay sẽ ra ngoài mua quần áo, nên không thể cứ ngồi ở nhà xem TV.",เมื่อวานคุณสัญญากับฉันว่าวันนี้จะออกไปซื้อเสื้อผ้า ดังนั้นจะนั่งดูทีวีอยู่บ้านตลอดไม่ได้,"You promised me yesterday that we would go out to buy clothes today, so you cannot just sit at home watching TV."
出門,chū mén,ra khỏi nhà,ออกจากบ้าน,to go out,因為外面天氣太熱，爸爸今天一點也不想出門。,"Vì bên ngoài trời quá nóng, hôm nay bố hoàn toàn không muốn ra ngoài.",เพราะข้างนอกร้อนเกินไป วันนี้พ่อไม่อยากออกจากบ้านเลย,"Because it is too hot outside, Dad does not want to go out at all today."
出門買衣服,chū mén mǎi yī fú,ra ngoài mua quần áo,ออกไปซื้อเสื้อผ้า,to go out to buy clothes,媽媽提醒爸爸，他昨天已經答應今天要出門買衣服。,Mẹ nhắc bố rằng hôm qua bố đã hứa hôm nay sẽ ra ngoài mua quần áo.,แม่เตือนพ่อว่า เมื่อวานพ่อสัญญาแล้วว่าวันนี้จะออกไปซื้อเสื้อผ้า,Mom reminded Dad that he had already promised yesterday to go out and buy clothes today.
沒發現...了嗎,méi fā xiàn...le ma,không phát hiện ra... rồi sao,ไม่สังเกตหรือว่า...แล้ว,haven’t you noticed...,妹妹看著滿滿的衣櫃，問哥哥：「你沒發現衣服已經很多了嗎？」,Em gái nhìn tủ quần áo đầy ắp và hỏi anh trai: “Anh không phát hiện quần áo đã nhiều lắm rồi sao?”,น้องสาวมองตู้เสื้อผ้าที่เต็มแน่น แล้วถามพี่ชายว่า “พี่ไม่เห็นหรือว่าเสื้อผ้าเยอะมากแล้ว”,"My younger sister looked at the full closet and asked my older brother, “Haven’t you noticed that you already have a lot of clothes?”"
怕,pà,sợ,กลัว,to be afraid,爸爸不是不想陪媽媽買衣服，他只是怕太晚回家，沒辦法看棒球比賽。,Bố không phải không muốn đi mua quần áo với mẹ; ông chỉ sợ về nhà quá muộn và không thể xem trận bóng chày.,พ่อไม่ใช่ไม่อยากไปซื้อเสื้อผ้ากับแม่ เขาแค่กลัวกลับบ้านช้าเกินไปจนดูการแข่งขันเบสบอลไม่ได้,Dad is not unwilling to go clothes shopping with Mom; he is just afraid of getting home too late and missing the baseball game.
太晚回家,tài wǎn huí jiā,về nhà quá muộn,กลับบ้านช้าเกินไป,to get home too late,如果我們今天逛街逛太久，可能會太晚回家。,"Nếu hôm nay chúng ta đi mua sắm quá lâu, có thể sẽ về nhà quá muộn.",ถ้าวันนี้พวกเราเดินซื้อของนานเกินไป อาจจะกลับบ้านช้าเกินไป,"If we shop for too long today, we may get home too late."
沒辦法,méi bàn fǎ,không thể / không có cách nào,ไม่สามารถ / ไม่มีทาง,cannot / no way,如果你明天還是這麼累，就沒辦法去公司上班。,"Nếu ngày mai bạn vẫn mệt như vậy, bạn sẽ không thể đi làm ở công ty.",ถ้าพรุ่งนี้คุณยังเหนื่อยแบบนี้ ก็จะไปทำงานที่บริษัทไม่ได้,"If you are still this tired tomorrow, you will not be able to go to work at the company."
看,kàn,xem / nhìn,ดู,to watch / see,爸爸今天晚上想在家看棒球比賽，所以不想逛街逛太久。,"Tối nay bố muốn ở nhà xem trận bóng chày, nên không muốn đi mua sắm quá lâu.",คืนนี้พ่ออยากอยู่บ้านดูการแข่งขันเบสบอล จึงไม่อยากเดินซื้อของนานเกินไป,"Dad wants to watch the baseball game at home tonight, so he does not want to shop for too long."
看棒球賽,kàn bàng qiú sài,xem trận bóng chày,ดูการแข่งขันเบสบอล,to watch a baseball game,哥哥很喜歡看棒球賽，只要有重要比賽，他就會早一點回家。,"Anh trai rất thích xem bóng chày; chỉ cần có trận quan trọng, anh ấy sẽ về nhà sớm hơn.",พี่ชายชอบดูเบสบอลมาก ถ้ามีการแข่งขันสำคัญ เขาจะกลับบ้านเร็วหน่อย,"My older brother loves watching baseball games; whenever there is an important game, he goes home earlier."
下面哪一個是對的,xià miàn nǎ yí ge shì duì de,câu nào bên dưới là đúng,ข้อใดต่อไปนี้ถูกต้อง,which one below is correct,聽完對話以後，老師請學生回答：「下面哪一個是對的？」,"Sau khi nghe xong đoạn hội thoại, giáo viên yêu cầu học sinh trả lời: “Câu nào dưới đây là đúng?”",หลังฟังบทสนทนาเสร็จ ครูให้นักเรียนตอบว่า “ข้อใดต่อไปนี้ถูกต้อง”,"After listening to the dialogue, the teacher asked the students to answer, “Which of the following is correct?”"
牛奶,niú nǎi,sữa bò,นม,milk,王先生昨天在這家店買了一瓶牛奶，可是今天喝的時候覺得味道很奇怪。,"Hôm qua ông Vương mua một chai sữa ở cửa hàng này, nhưng hôm nay khi uống thì thấy mùi vị rất lạ.",เมื่อวานคุณหวังซื้อนมหนึ่งขวดที่ร้านนี้ แต่วันนี้ตอนดื่มรู้สึกว่ารสชาติแปลกมาก,"Mr. Wang bought a bottle of milk at this store yesterday, but when he drank it today, he thought it tasted strange."
味道,wèi dào,mùi vị / hương vị,รสชาติ / กลิ่น,taste / flavor,這瓶牛奶的味道有點奇怪，所以客人想換一瓶新的。,"Mùi vị của chai sữa này hơi lạ, nên khách muốn đổi một chai mới.",รสชาติของนมขวดนี้แปลกนิดหน่อย ดังนั้นลูกค้าจึงอยากเปลี่ยนขวดใหม่,"This bottle of milk tastes a little strange, so the customer wants to exchange it for a new one."
奇怪,qí guài,lạ / kỳ lạ,แปลก,strange,小美打開牛奶以後，聞到奇怪的味道，就不敢喝了。,"Sau khi Tiểu Mỹ mở sữa ra, cô ấy ngửi thấy mùi lạ nên không dám uống nữa.",หลังจากเสี่ยวเหม่ยเปิดนม เธอได้กลิ่นแปลก ๆ จึงไม่กล้าดื่ม,"After Xiaomei opened the milk, she smelled something strange and did not dare to drink it."
換,huàn,đổi,เปลี่ยน,to exchange / change,客人覺得牛奶的味道不對，所以想拿發票到店裡換一瓶新的。,"Khách hàng thấy mùi vị sữa không đúng, nên muốn mang hóa đơn đến cửa hàng đổi một chai mới.",ลูกค้ารู้สึกว่ารสชาตินมไม่ถูกต้อง จึงอยากเอาใบเสร็จไปที่ร้านเพื่อเปลี่ยนขวดใหม่,"The customer thought the milk tasted wrong, so he wanted to bring the receipt to the store and exchange it for a new bottle."
瓶,píng,chai / lượng từ cho chai,ขวด / ลักษณนามขวด,bottle / measure word for bottles,店員告訴客人，如果有發票，就可以換一瓶新的牛奶。,Nhân viên cửa hàng nói với khách rằng nếu có hóa đơn thì có thể đổi một chai sữa mới.,พนักงานร้านบอกลูกค้าว่า ถ้ามีใบเสร็จก็สามารถเปลี่ยนนมขวดใหม่ได้หนึ่งขวด,"The clerk told the customer that if he had the receipt, he could exchange it for a new bottle of milk."
罐,guàn,lon / hộp,กระป๋อง,can / jar,弟弟口渴的時候，在商店買了一罐汽水和一瓶牛奶。,"Khi em trai khát nước, em ấy mua một lon nước ngọt và một chai sữa ở cửa hàng.",เมื่อน้องชายกระหายน้ำ เขาซื้อน้ำอัดลมหนึ่งกระป๋องและนมหนึ่งขวดที่ร้าน,"When my younger brother was thirsty, he bought a can of soda and a bottle of milk at the store."
發票,fā piào,hóa đơn,ใบเสร็จ / ใบกำกับภาษี,receipt / invoice,店員說，客人要帶發票來，店裡才能幫他換東西。,Nhân viên nói khách phải mang hóa đơn đến thì cửa hàng mới có thể giúp đổi hàng.,พนักงานบอกว่า ลูกค้าต้องนำใบเสร็จมา ร้านจึงจะช่วยเปลี่ยนสินค้าให้ได้,The clerk said the customer needed to bring the receipt before the store could help him exchange the item.
明細,míng xì,bảng chi tiết / chi tiết,รายละเอียด,details / itemized list,如果沒有發票，至少要有購買明細，店員才知道你買了什麼。,"Nếu không có hóa đơn, ít nhất phải có chi tiết mua hàng thì nhân viên mới biết bạn đã mua gì.",ถ้าไม่มีใบเสร็จ อย่างน้อยต้องมีรายละเอียดการซื้อ พนักงานจึงจะรู้ว่าคุณซื้ออะไร,"If you do not have the receipt, you should at least have the purchase details so the clerk knows what you bought."
才能換,cái néng huàn,mới có thể đổi,ถึงจะเปลี่ยนได้,only then can exchange,客人要先拿出發票，店員確認以後，才能換一瓶新的牛奶。,Khách phải lấy hóa đơn ra trước; sau khi nhân viên xác nhận xong thì mới có thể đổi một chai sữa mới.,ลูกค้าต้องนำใบเสร็จออกมาก่อน หลังพนักงานตรวจสอบแล้ว จึงจะเปลี่ยนนมขวดใหม่ได้,The customer must first show the receipt; only after the clerk checks it can he exchange the milk for a new bottle.
