生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
條,tiáo,"cái / chiếc; lượng từ cho váy, quần, đường, sông...",ลักษณนามของกระโปรง กางเกง ถนน แม่น้ำ ฯลฯ,"measure word for skirts, pants, roads, rivers, etc.",小月在店裡看到一條漂亮的裙子，可是她覺得價錢有一點貴。,"Tiểu Nguyệt nhìn thấy một chiếc váy đẹp trong cửa hàng, nhưng cô ấy thấy giá hơi đắt.",เสี่ยวเยว่เห็นกระโปรงสวยตัวหนึ่งในร้าน แต่เธอรู้สึกว่าราคาค่อนข้างแพง,"Xiaoyue saw a beautiful skirt in the store, but she felt the price was a little expensive."
漂亮,piào liàng,đẹp,สวย,beautiful / pretty,那條裙子非常漂亮，小月一看到就很喜歡。,"Chiếc váy đó rất đẹp, Tiểu Nguyệt vừa nhìn thấy là rất thích.",กระโปรงตัวนั้นสวยมาก เสี่ยวเยว่พอเห็นก็ชอบมาก,"That skirt was very beautiful, and Xiaoyue liked it as soon as she saw it."
裙子,qún zi,váy,กระโปรง,skirt,小月想買那條裙子，但是她想先問媽媽的意見。,"Tiểu Nguyệt muốn mua chiếc váy đó, nhưng cô ấy muốn hỏi ý kiến mẹ trước.",เสี่ยวเยว่อยากซื้อกระโปรงตัวนั้น แต่เธออยากถามความคิดเห็นของแม่ก่อน,"Xiaoyue wants to buy that skirt, but she wants to ask her mother’s opinion first."
討論,tǎo lùn,thảo luận / bàn bạc,คุยกัน / ปรึกษา / อภิปราย,to discuss,小月和媽媽討論了很久，還是沒有決定要不要買那條裙子。,"Tiểu Nguyệt và mẹ bàn bạc rất lâu, vẫn chưa quyết định có mua chiếc váy đó hay không.",เสี่ยวเยว่กับแม่คุยกันอยู่นาน แต่ก็ยังไม่ได้ตัดสินใจว่าจะซื้อกระโปรงตัวนั้นหรือไม่,Xiaoyue and her mother discussed it for a long time but still did not decide whether to buy the skirt.
以後,yǐ hòu,sau này / sau đó,หลังจากนั้น / ต่อไป,later / after / in the future,老闆說這條白色裙子以後不會再有了，所以小月馬上買了。,"Chủ tiệm nói chiếc váy trắng này sau này sẽ không còn nữa, nên Tiểu Nguyệt lập tức mua nó.",เจ้าของร้านบอกว่ากระโปรงสีขาวตัวนี้ต่อไปจะไม่มีอีกแล้ว ดังนั้นเสี่ยวเยว่จึงซื้อทันที,"The shop owner said this white skirt would not be available in the future, so Xiaoyue bought it immediately."
以前,yǐ qián,trước đây / trước kia,เมื่อก่อน / ก่อนหน้านี้,before / in the past,以前小月買衣服都很快決定，這次卻想跟媽媽討論一下。,"Trước đây Tiểu Nguyệt mua quần áo đều quyết định rất nhanh, nhưng lần này cô ấy lại muốn bàn với mẹ một chút.",เมื่อก่อนเสี่ยวเยว่ซื้อเสื้อผ้าแล้วตัดสินใจเร็วมาก แต่ครั้งนี้กลับอยากคุยกับแม่สักหน่อย,"Before, Xiaoyue always decided quickly when buying clothes, but this time she wanted to discuss it with her mother."
決定,jué dìng,quyết định,ตัดสินใจ,to decide,小月聽到裙子只剩最後一條以後，立刻決定把它買下來。,"Sau khi nghe chiếc váy chỉ còn lại chiếc cuối cùng, Tiểu Nguyệt lập tức quyết định mua nó.",หลังจากเสี่ยวเยว่ได้ยินว่ากระโปรงเหลือแค่ตัวสุดท้าย เธอก็ตัดสินใจซื้อทันที,"After hearing that the skirt was the last one left, Xiaoyue immediately decided to buy it."
當,dāng,khi / lúc,เมื่อ / ตอนที่,when,當小月正在跟媽媽討論的時候，另一位客人也看上了那條裙子。,"Khi Tiểu Nguyệt đang bàn với mẹ, một khách hàng khác cũng thích chiếc váy đó.",ตอนที่เสี่ยวเยว่กำลังคุยกับแม่ ลูกค้าอีกคนหนึ่งก็ถูกใจกระโปรงตัวนั้นด้วย,"When Xiaoyue was discussing it with her mother, another customer also liked that skirt."
手上,shǒu shàng,trên tay / trong tay,ในมือ / บนมือ,in one’s hand,客人看到小月手上的裙子，就問老闆這條裙子多少錢。,"Khách hàng nhìn thấy chiếc váy trong tay Tiểu Nguyệt, liền hỏi chủ tiệm chiếc váy này bao nhiêu tiền.",ลูกค้าเห็นกระโปรงในมือของเสี่ยวเยว่ จึงถามเจ้าของร้านว่ากระโปรงตัวนี้ราคาเท่าไร,The customer saw the skirt in Xiaoyue’s hand and asked the shop owner how much it cost.
回答,huí dá,trả lời,ตอบ,to answer,客人問裙子多少錢，老闆很快就回答了她的問題。,"Khách hàng hỏi chiếc váy bao nhiêu tiền, chủ tiệm nhanh chóng trả lời câu hỏi của cô ấy.",ลูกค้าถามว่ากระโปรงราคาเท่าไร เจ้าของร้านก็ตอบคำถามของเธออย่างรวดเร็ว,"The customer asked how much the skirt cost, and the shop owner quickly answered her question."
還說,hái shuō,còn nói,ยังบอกอีกว่า,also said,老闆回答了價錢，還說這條裙子是店裡最後一條。,"Chủ tiệm trả lời giá tiền, còn nói rằng chiếc váy này là chiếc cuối cùng trong cửa hàng.",เจ้าของร้านตอบราคาแล้ว ยังบอกอีกว่ากระโปรงตัวนี้เป็นตัวสุดท้ายในร้าน,The shop owner answered the price and also said that this skirt was the last one in the store.
只剩,zhǐ shèng,chỉ còn lại,เหลือแค่,only left / only remain,老闆說店裡只剩這一條白色裙子，如果不買就沒有了。,"Chủ tiệm nói trong cửa hàng chỉ còn lại chiếc váy trắng này, nếu không mua thì sẽ hết.",เจ้าของร้านบอกว่าในร้านเหลือแค่กระโปรงสีขาวตัวนี้ ถ้าไม่ซื้อก็จะหมดแล้ว,"The shop owner said that only this white skirt was left in the store, and if she did not buy it, it would be gone."
白色,bái sè,màu trắng,สีขาว,white,小月本來覺得白色裙子容易髒，但是她還是很喜歡這個樣子。,"Ban đầu Tiểu Nguyệt thấy váy màu trắng dễ bẩn, nhưng cô ấy vẫn rất thích kiểu dáng này.",ตอนแรกเสี่ยวเยว่คิดว่ากระโปรงสีขาวเปื้อนง่าย แต่เธอก็ยังชอบแบบนี้มาก,"At first Xiaoyue thought white skirts got dirty easily, but she still really liked this style."
不會再有,bú huì zài yǒu,sẽ không còn nữa,จะไม่มีอีกแล้ว,there will not be any more,老闆說這條裙子賣完以後不會再有，小月聽了很緊張。,"Chủ tiệm nói sau khi chiếc váy này bán hết sẽ không còn nữa, Tiểu Nguyệt nghe xong rất căng thẳng.",เจ้าของร้านบอกว่าหลังจากกระโปรงตัวนี้ขายหมดจะไม่มีอีกแล้ว เสี่ยวเยว่ฟังแล้วรู้สึกกังวลมาก,"The shop owner said there would not be any more after this skirt was sold, and Xiaoyue became nervous after hearing that."
老闆,lǎo bǎn,ông chủ / bà chủ / chủ tiệm,เจ้าของร้าน / เจ้านาย,boss / shop owner,老闆看到小月很喜歡那條裙子，就告訴她這是最後一條。,"Chủ tiệm thấy Tiểu Nguyệt rất thích chiếc váy đó, liền nói với cô ấy rằng đây là chiếc cuối cùng.",เจ้าของร้านเห็นว่าเสี่ยวเยว่ชอบกระโปรงตัวนั้นมาก จึงบอกเธอว่านี่เป็นตัวสุดท้าย,The shop owner saw that Xiaoyue really liked the skirt and told her it was the last one.
馬上,mǎ shàng,ngay lập tức / liền,ทันที,immediately / right away,小月聽到以後不會再有，就馬上拿錢買了那條裙子。,"Sau khi nghe nói sau này sẽ không còn nữa, Tiểu Nguyệt lập tức lấy tiền mua chiếc váy đó.",หลังจากเสี่ยวเยว่ได้ยินว่าต่อไปจะไม่มีอีก เธอก็หยิบเงินซื้อกระโปรงตัวนั้นทันที,"After hearing that there would not be any more in the future, Xiaoyue immediately took out money and bought the skirt."
給,gěi,cho / đưa cho,ให้,to give / for,大同想給家人更好的生活，所以他離開南部到北部工作。,"Đại Đồng muốn cho gia đình cuộc sống tốt hơn, nên anh ấy rời miền Nam lên miền Bắc làm việc.",ต้าถงอยากให้ครอบครัวมีชีวิตที่ดีขึ้น ดังนั้นเขาจึงออกจากภาคใต้ไปทำงานภาคเหนือ,"Datong wants to give his family a better life, so he left the south to work in the north."
更好,gèng hǎo,tốt hơn,ดีขึ้น / ดีกว่า,better,大同希望自己賺更多錢，讓家人的生活變得更好。,"Đại Đồng hy vọng mình kiếm được nhiều tiền hơn, để cuộc sống của gia đình trở nên tốt hơn.",ต้าถงหวังว่าตัวเองจะหาเงินได้มากขึ้น เพื่อให้ชีวิตของครอบครัวดีขึ้น,Datong hopes to earn more money so that his family’s life can become better.
生活,shēng huó,cuộc sống,ชีวิต,life,雖然大同在北部生活很辛苦，但是他還是想多賺一點錢。,"Mặc dù cuộc sống của Đại Đồng ở miền Bắc rất vất vả, nhưng anh ấy vẫn muốn kiếm thêm một chút tiền.",แม้ว่าชีวิตของต้าถงในภาคเหนือจะลำบากมาก แต่เขายังอยากหาเงินเพิ่มอีกหน่อย,"Although Datong’s life in the north is difficult, he still wants to earn a little more money."
從南部北上,cóng nán bù běi shàng,từ miền Nam lên miền Bắc,จากภาคใต้ขึ้นไปภาคเหนือ,to go north from the south,大同從南部北上工作以後，一年只能回家一次。,"Sau khi Đại Đồng từ miền Nam lên miền Bắc làm việc, một năm anh ấy chỉ có thể về nhà một lần.",หลังจากต้าถงขึ้นจากภาคใต้ไปทำงานภาคเหนือ เขากลับบ้านได้แค่ปีละครั้ง,"After Datong moved north from the south for work, he could only go home once a year."
東西,dōng xi,đồ vật / đồ đạc / thứ,ของ / สิ่งของ,things / stuff,北部的東西很貴，所以大同週末也要去公司加班。,"Đồ ở miền Bắc rất đắt, nên cuối tuần Đại Đồng cũng phải đến công ty tăng ca.",ของในภาคเหนือแพงมาก ดังนั้นวันหยุดสุดสัปดาห์ต้าถงก็ต้องไปทำงานล่วงเวลาที่บริษัท,"Things in the north are expensive, so Datong has to work overtime at the company even on weekends."
週末,zhōu mò,cuối tuần,วันหยุดสุดสัปดาห์,weekend,大同週末不能休息，因為他要加班賺更多的錢。,"Cuối tuần Đại Đồng không thể nghỉ ngơi, vì anh ấy phải tăng ca để kiếm nhiều tiền hơn.",วันหยุดสุดสัปดาห์ต้าถงพักไม่ได้ เพราะเขาต้องทำงานล่วงเวลาเพื่อหาเงินให้มากขึ้น,Datong cannot rest on weekends because he has to work overtime to earn more money.
公司,gōng sī,công ty,บริษัท,company,大同週末常常留在公司加班，晚上很晚才回家。,"Cuối tuần Đại Đồng thường ở lại công ty tăng ca, buổi tối rất muộn mới về nhà.",วันหยุดสุดสัปดาห์ต้าถงมักอยู่ที่บริษัทเพื่อทำงานล่วงเวลา ตอนกลางคืนกลับบ้านดึกมาก,Datong often stays at the company to work overtime on weekends and goes home very late at night.
加班,jiā bān,tăng ca / làm thêm giờ,ทำงานล่วงเวลา,to work overtime,為了多賺一點錢，大同每個週末都在公司加班。,"Để kiếm thêm một chút tiền, mỗi cuối tuần Đại Đồng đều tăng ca ở công ty.",เพื่อหาเงินเพิ่มอีกนิด ทุกสุดสัปดาห์ต้าถงทำงานล่วงเวลาที่บริษัท,"To earn a little more money, Datong works overtime at the company every weekend."
賺錢,zhuàn qián,kiếm tiền,หาเงิน,to earn money,大同努力賺錢，是因為他想讓家人過更好的生活。,Đại Đồng cố gắng kiếm tiền vì anh ấy muốn gia đình có cuộc sống tốt hơn.,ต้าถงพยายามหาเงิน เพราะเขาอยากให้ครอบครัวมีชีวิตที่ดีขึ้น,Datong works hard to earn money because he wants his family to have a better life.
才,cái,mới / chỉ mới / mới có thể,ถึงจะ / เพิ่งจะ / แค่,only then / only,大同週末得加班，才能付得起北部比較高的生活費。,Đại Đồng cuối tuần phải tăng ca thì mới có thể trả nổi chi phí sinh hoạt khá cao ở miền Bắc.,ต้าถงต้องทำงานล่วงเวลาวันหยุดสุดสัปดาห์ ถึงจะจ่ายค่าครองชีพที่ค่อนข้างสูงในภาคเหนือได้,Datong has to work overtime on weekends in order to afford the higher cost of living in the north.
讓,ràng,khiến / để cho,ทำให้ / ให้,to make / to let,一年只能回家一次，讓大同覺得很傷心。,"Một năm chỉ có thể về nhà một lần, điều này khiến Đại Đồng cảm thấy rất buồn.",การกลับบ้านได้แค่ปีละครั้งทำให้ต้าถงรู้สึกเสียใจมาก,Being able to go home only once a year makes Datong feel very sad.
家人,jiā rén,người nhà / gia đình,คนในครอบครัว / ครอบครัว,family / family members,大同很想念南部的家人，但是他平常工作太忙了。,"Đại Đồng rất nhớ gia đình ở miền Nam, nhưng bình thường công việc của anh ấy quá bận.",ต้าถงคิดถึงครอบครัวที่ภาคใต้มาก แต่ปกติงานของเขายุ่งเกินไป,"Datong misses his family in the south very much, but he is usually too busy with work."
感情,gǎn qíng,tình cảm / mối quan hệ tình cảm,ความรู้สึก / ความสัมพันธ์,relationship / feelings,大同跟家人的感情很好，所以不能常常回家讓他很難過。,"Đại Đồng có tình cảm rất tốt với gia đình, nên việc không thể thường xuyên về nhà khiến anh ấy rất buồn.",ต้าถงมีความสัมพันธ์ที่ดีกับครอบครัวมาก ดังนั้นการกลับบ้านบ่อย ๆ ไม่ได้ทำให้เขาเสียใจมาก,"Datong has a very good relationship with his family, so not being able to go home often makes him very sad."
傷心,shāng xīn,buồn / đau lòng,เสียใจ,sad / heartbroken,雖然大同賺了不少錢，但是他很少看到家人，所以覺得很傷心。,"Mặc dù Đại Đồng kiếm được khá nhiều tiền, nhưng anh ấy rất ít khi gặp gia đình, nên cảm thấy rất buồn.",แม้ว่าต้าถงจะหาเงินได้ไม่น้อย แต่เขาแทบไม่ได้เจอครอบครัว จึงรู้สึกเสียใจมาก,"Although Datong earns quite a lot of money, he rarely sees his family, so he feels very sad."
